# Format: McCode with text headers
# URL: http://www.mccode.org
# Creator:  3.7.18, git
# Instrument: SimplePowderDiffractometer_generated.instr
# Ncount: 1000000
# Trace: no
# Gravitation: no
# Seed: 1790250496015274
# Directory: /home/0000-0002-6409-0469/testing/SimplePowderDiffractometer_copy/interface_SimplePowderDiffractometer_generated_4
# Param: lambda0=1
# Param: dlambda=0.005
# Param: coll=120
# Param: container=0
# Param: sample=0
# Date: Thu Sep 24 13:48:16 2026 (1790250496)
# type: array_1d(400)
# Source: SimplePowderDiffractometer_generated (SimplePowderDiffractometer_generated.instr)
# component: Detector
# position: 0 0 3
# title: Longitude [deg] monitor
# Ncount: 1000000
# filename: detector.dat
# statistics: X0=52.7172; dX=21.9525;
# signal: Min=0; Max=220.75; Mean=20.3818;
# values: 8152.73 27.6978 170517
# xvar: th
# yvar: (I,I_err)
# xlabel: Longitude [deg]
# ylabel: Intensity [n/s/bin]
# xlimits: 20 100
# variables: th I I_err N
20.1 0 0 1 
20.3 0 0 1 
20.5 0 0 6 
20.7 0 0 0 
20.9 0 0 6 
21.1 0 0 4 
21.3 0 0 1 
21.5 0 0 3 
21.7 0 0 8 
21.9 0 0 2 
22.1 0 0 5 
22.3 0 0 3 
22.5 0 0 1 
22.7 0 0 3 
22.9 0 0 4 
23.1 0 0 3 
23.3 0 0 3 
23.5 0 0 2 
23.7 0 0 1 
23.9 0 0 5 
24.1 0 0 4 
24.3 0 0 5 
24.5 0 0 3 
24.7 0 0 2 
24.9 0 0 5 
25.1 0 0 5 
25.3 0 0 6 
25.5 0 0 5 
25.7 0 0 4 
25.9 0 0 4 
26.1 0.0570476405 0.02918410267 7 
26.3 0.7338976216 0.1166316827 56 
26.5 4.248815874 0.3866708001 153 
26.7 14.67986956 0.8349798998 372 
26.9 28.63480076 1.35109068 518 
27.1 54.7022133 2.154552267 721 
27.3 75.63941562 2.842881538 773 
27.5 102.3308539 3.612326678 875 
27.7 132.3695955 4.466577651 944 
27.9 149.6851592 5.058452375 938 
28.1 187.7606476 6.062036015 1027 
28.3 220.7503008 6.904471737 1081 
28.5 198.715487 6.617232691 958 
28.7 197.493624 6.437135124 1019 
28.9 172.41756 5.708687762 986 
29.1 150.0958417 4.99517234 986 
29.3 121.868369 4.221195696 906 
29.5 97.47549906 3.425938163 895 
29.7 63.30255059 2.496706868 721 
29.9 42.66146965 1.821633539 632 
30.1 24.3208914 1.203086845 480 
30.3 9.136057796 0.6479560142 253 
30.5 1.976156045 0.2423201204 93 
30.7 0.6235611079 0.1102669941 53 
30.9 1.116952438 0.1388346433 91 
31.1 3.677893054 0.2851102529 214 
31.3 10.91671843 0.5755198788 432 
31.5 22.54974102 0.9475369452 660 
31.7 32.59394185 1.286152434 725 
31.9 46.82065614 1.695651998 840 
32.1 60.95156459 2.116398571 897 
32.3 76.03122727 2.565744665 943 
32.5 95.06109486 3.068681142 1029 
32.7 102.8147667 3.372097764 1005 
32.9 111.5561353 3.627982817 1013 
33.1 104.3640299 3.495103105 963 
33.3 100.117884 3.322523583 986 
33.5 78.63644121 2.781850235 871 
33.7 78.37648994 2.591542998 1005 
33.9 57.67101975 2.057023085 864 
34.1 45.04651682 1.662462622 821 
34.3 29.84880048 1.213779236 703 
34.5 18.82951369 0.8722022503 552 
34.7 9.61414781 0.5305714563 400 
34.9 2.820262152 0.255129219 158 
35.1 0.6000823938 0.09474747075 59 
35.3 0.1088606539 0.03375096114 22 
35.5 0.01106711946 0.01195385525 6 
35.7 0 0 6 
35.9 0 0 3 
36.1 0 0 2 
36.3 0 0 4 
36.5 0 0 1 
36.7 0 0 3 
36.9 0 0 2 
37.1 0 0 5 
37.3 0 0 6 
37.5 0 0 5 
37.7 0 0 8 
37.9 0 0 3 
38.1 0 0 5 
38.3 0 0 3 
38.5 0 0 4 
38.7 0 0 3 
38.9 0 0 5 
39.1 0 0 8 
39.3 0 0 4 
39.5 0 0 4 
39.7 0 0 8 
39.9 0 0 3 
40.1 0 0 3 
40.3 0 0 6 
40.5 0 0 5 
40.7 0 0 3 
40.9 0 0 10 
41.1 0 0 2 
41.3 0 0 3 
41.5 0 0 3 
41.7 0 0 8 
41.9 0 0 3 
42.1 0 0 6 
42.3 0 0 6 
42.5 0 0 5 
42.7 0 0 4 
42.9 0 0 8 
43.1 0 0 5 
43.3 0 0 6 
43.5 0 0 4 
43.7 0 0 3 
43.9 0 0 5 
44.1 0 0 3 
44.3 0 0 6 
44.5 0 0 6 
44.7 0.01319545041 0.01425271541 6 
44.9 0.1282969164 0.04515258019 15 
45.1 0.7707428402 0.1172482707 63 
45.3 2.468256051 0.2290245397 160 
45.5 6.108520762 0.407316408 302 
45.7 13.83250197 0.6944657957 491 
45.9 22.02015078 0.9628135623 619 
46.1 31.28747566 1.256880538 719 
46.3 44.31150502 1.638215061 830 
46.5 56.67549773 2.00482034 892 
46.7 72.06650418 2.416308338 981 
46.9 82.55480093 2.728768773 1000 
47.1 91.02917364 2.996266336 999 
47.3 98.63396052 3.19488774 1029 
47.5 94.7847543 3.108976482 1014 
47.7 87.96012963 2.913288077 1011 
47.9 75.67521466 2.561424673 984 
48.1 61.35944093 2.153947509 919 
48.3 49.06986248 1.806620847 853 
48.5 37.0058133 1.4485593 776 
48.7 24.81953056 1.068030466 660 
48.9 16.34688126 0.8047610822 532 
49.1 8.585957204 0.5402389772 345 
49.3 3.56605202 0.29951193 189 
49.5 1.062011442 0.1478692556 78 
49.7 0.1520120478 0.05147228102 19 
49.9 0 0 6 
50.1 0 0 0 
50.3 0 0 2 
50.5 0 0 3 
50.7 0 0 6 
50.9 0 0 3 
51.1 0 0 5 
51.3 0 0 3 
51.5 0 0 4 
51.7 0 0 2 
51.9 0 0 2 
52.1 0 0 4 
52.3 0 0 5 
52.5 0 0 3 
52.7 0 0 3 
52.9 0 0 9 
53.1 0 0 2 
53.3 0 0 7 
53.5 0.04646519863 0.03596414313 4 
53.7 0.2545880608 0.07677420601 24 
53.9 1.308099034 0.204675629 65 
54.1 4.003375802 0.3638928721 164 
54.3 9.638480716 0.6277893769 324 
54.5 16.93379911 0.9163369356 443 
54.7 28.22087639 1.286457824 593 
54.9 43.02810796 1.754900095 728 
55.1 55.67065176 2.155291652 784 
55.3 70.84586131 2.60153096 848 
55.5 92.91834259 3.178122112 963 
55.7 109.1414565 3.646306024 986 
55.9 115.49522 3.902308022 957 
56.1 127.6239863 4.183045406 1016 
56.3 122.1682942 4.05220105 1011 
56.5 112.8709928 3.826847559 998 
56.7 104.7923941 3.533756107 1090 
56.9 85.10173809 2.97211332 1105 
57.1 72.28853792 2.55823464 1199 
57.3 56.71222431 2.009328715 1273 
57.5 48.59819862 1.701870914 1339 
57.7 37.4316961 1.313964135 1261 
57.9 30.13367822 1.008509449 1158 
58.1 28.53488384 0.9443661308 1089 
58.3 29.7867875 0.9961894857 1018 
58.5 34.17909821 1.109688586 1062 
58.7 35.37012793 1.175428833 997 
58.9 36.22688358 1.197249389 1009 
59.1 36.4125795 1.195622088 1031 
59.3 33.36832907 1.115151602 1019 
59.5 28.17632732 0.986019596 937 
59.7 24.36330152 0.869335029 921 
59.9 19.24747111 0.7149662817 858 
60.1 14.03528362 0.57328017 760 
60.3 10.20623913 0.4596611579 636 
60.5 6.113866278 0.3183930864 492 
60.7 3.552169371 0.2273171294 329 
60.9 1.538515929 0.1443300597 171 
61.1 0.6079321361 0.07496129662 85 
61.3 0.2514075212 0.05418421896 35 
61.5 0.05257208913 0.02148758413 12 
61.7 0.009800981432 0.007784574543 4 
61.9 0 0 3 
62.1 0 0 8 
62.3 0 0 3 
62.5 0 0 5 
62.7 0 0 5 
62.9 0 0 2 
63.1 0 0 3 
63.3 0 0 4 
63.5 0 0 4 
63.7 0 0 5 
63.9 0 0 4 
64.1 0 0 3 
64.3 0 0 4 
64.5 0 0 8 
64.7 0 0 5 
64.9 0 0 3 
65.1 0 0 5 
65.3 0 0 4 
65.5 0 0 2 
65.7 0 0 1 
65.9 0 0 3 
66.1 0 0 5 
66.3 0.008957955558 0.005109417611 9 
66.5 0.03100668493 0.010915703 13 
66.7 0.1137370251 0.02289039906 40 
66.9 0.3190953009 0.04007304553 88 
67.1 0.6538854776 0.06641897155 146 
67.3 1.45458545 0.1056102383 267 
67.5 2.77379639 0.1533083098 434 
67.7 4.628917701 0.2133734319 595 
67.9 6.445552469 0.2713721195 709 
68.1 8.247189814 0.32732777 773 
68.3 11.81324459 0.4221081156 923 
68.5 14.48882108 0.4970713557 978 
68.7 15.99525103 0.5454294379 981 
68.9 18.0657966 0.5998801772 1009 
69.1 18.53007894 0.6143333669 1016 
69.3 19.03236183 0.6195626635 1053 
69.5 17.86646876 0.6023786361 996 
69.7 14.93876977 0.5301963271 924 
69.9 13.01567615 0.4762584564 892 
70.1 11.69512903 0.4234952005 944 
70.3 8.813397662 0.347064232 825 
70.5 6.315818266 0.2759280404 675 
70.7 4.328558259 0.2162637527 549 
70.9 2.455976008 0.1501334936 368 
71.1 1.241550402 0.1003733165 226 
71.3 0.7901210506 0.07989743769 146 
71.5 0.2744997962 0.04108911765 78 
71.7 0.1074094516 0.02503124929 31 
71.9 0.0212103757 0.009447705454 11 
72.1 0.008194907336 0.00430840146 10 
72.3 0.003339165926 0.003657873002 5 
72.5 0 0 5 
72.7 0 0 5 
72.9 0 0 8 
73.1 0 0 4 
73.3 0.01038236788 0.006974809389 6 
73.5 0.1055070273 0.03895400049 13 
73.7 0.2039292352 0.05669812747 24 
73.9 0.5356613099 0.09687910557 45 
74.1 1.183977015 0.1529802281 94 
74.3 2.90942733 0.2578610043 174 
74.5 4.78994284 0.3358065178 276 
74.7 9.033302595 0.4949369418 449 
74.9 13.82001263 0.6676553805 563 
75.1 19.92818844 0.8572795014 701 
75.3 24.36964206 1.007568984 718 
75.5 31.46591467 1.220295601 817 
75.7 39.19360415 1.423605368 898 
75.9 47.47475035 1.627572001 980 
76.1 51.66428845 1.734552904 1017 
76.3 55.31693851 1.835885816 1062 
76.5 57.48065754 1.887686649 1097 
76.7 52.22363392 1.750477445 1118 
76.9 55.17530711 1.753287957 1300 
